text,category,priority,sentiment
"Hello, office me computer is not turning on, still not fixed. Ye kya ho raha hai.",Computer/Hardware,High,Negative
"Hello, faculty parking me no parking space, few hours. Otherwise things are good, just fix this.",Parking,Medium,Positive
"Dear admin, found insect in food at dining area, kindly resolve. This is unacceptable.",Mess/Food,Medium,Negative
"Hello, no proper cleaning. Location: hostel room 202. please look into it. This is unacceptable.",Hostel Room,Medium,Negative
results not published. Location: portal. small problem. Ye kya ho raha hai.,Academic Issue,Low,Negative
"Complaint: mess hall me same menu every day, since yesterday. Very disappointed.",Mess/Food,Medium,Negative
"Hello, fan not working at Hostel Block D, immediately. Frustrated with this.",Electricity,Critical,Negative
"Dear admin, cold food served. Location: dining area. since last week. Awaiting your response.",Mess/Food,High,Neutral
Complaint: cannot connect to campus network. Location: hostel room. since 4 days. This is unacceptable.,Internet/Wifi,High,Negative
"Sir, corridor me room not cleaned for days, since 4 days. Bahut buri service hai.",Cleanliness,High,Negative
"Hello, class 3B me teacher not coming to class regularly, still not fixed. Frustrated with this.",Faculty Issue,High,Negative
"Hello, There is a problem: no parking space in the faculty parking. since 3 days. Thanks.",Parking,High,Neutral
"Dear admin, accounts office me admission form not accepted, today morning. This is unacceptable.",Administrative,Medium,Negative
"To whom it may concern, There is a problem: mess timing is wrong in the dining area. today morning. Very disappointed.",Mess/Food,Medium,Negative
"To whom it may concern, parking is chaotic at parking lot, please look into it. This is unacceptable.",Parking,Medium,Negative
Complaint: suggestion for improvement. Location: college. no response yet. Kindly resolve at earliest.,Other,High,Neutral
"Dear admin, admission form not accepted. Location: registrar office. since yesterday. Kindly resolve at earliest.",Administrative,Medium,Neutral
"Sir, corridor is filthy at washroom, no response yet. Very disappointed.",Cleanliness,High,Negative
"To whom it may concern, wrong marks in result at portal, just a suggestion. Please look into it.",Academic Issue,Low,Neutral
"Complaint: fire hazard in lab at library, minor issue. This is unacceptable.",Security/Safety,Low,Negative
cobwebs everywhere. Location: ground floor. since last week. Bahut buri service hai.,Cleanliness,High,Negative
"To whom it may concern, certificate not issued at registrar office, since 4 days. Bahut buri service hai.",Administrative,High,Negative
"To whom it may concern, water tap is leaking. Location: washrooms on 2nd floor. kabhi kabhi hota hai. Very disappointed.",Water Supply,Low,Negative
"Hello, warden office me bed sheet not changed, please look into it. Bahut buri service hai.",Hostel Room,Medium,Negative
"Dear admin, classroom me wifi not working, medical emergency. Appreciate quick action.",Internet/Wifi,Critical,Positive
"Complaint: department me lecture is too fast, many students affected. Ye kya ho raha hai.",Faculty Issue,High,Negative
"To whom it may concern, no water supply at Hostel Block B, just a suggestion. Very disappointed.",Water Supply,Low,Negative
"Complaint: dining area me cold food served, few hours. Frustrated with this.",Mess/Food,Medium,Negative
"canteen area me garbage not collected, since last week. Awaiting your response.",Garbage,High,Neutral
"To whom it may concern, admission form not accepted at registrar office, today morning. Kindly resolve at earliest.",Administrative,Medium,Neutral
"To whom it may concern, no electricity at Lab 2, for 2 days. This is unacceptable.",Electricity,High,Negative
"Hello, There is a problem: wifi not working in the computer lab. just a suggestion. Very disappointed.",Internet/Wifi,Low,Negative
"Dear admin, parking is chaotic. Location: faculty parking. few hours. Please look into it.",Parking,Medium,Neutral
"Sir, hostel room 202 me broken bed, few hours. Thanks.",Hostel Room,Medium,Neutral
There is a problem: roommate issue in the warden office. occasionally. This is unacceptable.,Hostel Room,Low,Negative
"Complaint: warden office me broken bed, kindly resolve. Otherwise things are good, just fix this.",Hostel Room,Medium,Positive
"Hello, syllabus not covered before exam. Location: notice board. emergency. Ye kya ho raha hai.",Academic Issue,Critical,Negative
Complaint: college bus is always late. Location: campus gate. small problem. Appreciate quick action.,Transport,Low,Positive
Complaint: There is a problem: teacher not coming to class regularly in the department. few hours. Very disappointed.,Faculty Issue,Medium,Negative
"Sir, someone blocked my vehicle. Location: parking lot. since yesterday. Appreciate quick action.",Parking,Medium,Positive
"Dear admin, There is a problem: bus driver is rude in the route 5. fire. Very disappointed.",Transport,Critical,Negative
